23:04:45.440 [main] INFO  TestBase.BaseClass - --- Running on local system ---
12:02:34.549 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:02:34.778 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:02:34.895 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:02:35.009 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:02:35.132 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:02:35.235 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:02:35.368 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:02:35.518 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:02:35.667 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:02:35.919 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:02:36.043 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:02:36.314 [main] INFO  TestBase.BaseClass - Closed browser
12:05:53.181 [main] INFO  TestBase.BaseClass - --- Running on local system ---
12:06:00.947 [main] INFO  TestBase.BaseClass - Started chrome browser
12:06:01.937 [main] INFO  TestBase.BaseClass - website is loaded
12:06:09.421 [main] INFO  TestBase.BaseClass - travel insurance menu is clicked successfully
12:07:49.246 [main] INFO  TestBase.BaseClass - --- Running on local system ---
12:07:54.622 [main] INFO  TestBase.BaseClass - Started chrome browser
12:08:01.705 [main] INFO  TestBase.BaseClass - website is loaded
12:08:02.895 [main] INFO  TestBase.BaseClass - travel insurance menu is clicked successfully
12:08:22.948 [main] INFO  TestBase.BaseClass - personal details filled successfully
12:08:40.155 [main] INFO  TestBase.BaseClass - filters applied on student plans
12:08:40.693 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
12:08:40.807 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
12:08:40.873 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
12:08:41.566 [main] WARN  org.apache.poi.POIDocument - DocumentSummaryInformation property set came back as null
12:08:41.567 [main] WARN  org.apache.poi.POIDocument - SummaryInformation property set came back as null
12:08:45.036 [main] INFO  TestBase.BaseClass - clicked on Car insurance menu and fetched car details
12:08:56.158 [main] INFO  TestBase.BaseClass - filled personal details with wrong email and printed the wrong email error msg
12:10:48.953 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:10:49.041 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:10:49.122 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:10:49.229 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:10:49.294 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:10:49.364 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:10:49.427 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:10:49.497 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:10:49.595 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:10:49.665 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:10:49.781 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:10:49.877 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:10:50.402 [main] INFO  TestBase.BaseClass - Closed browser
12:14:06.605 [main] INFO  TestBase.BaseClass - --- Running on local system ---
12:14:14.087 [main] INFO  TestBase.BaseClass - Started chrome browser
12:14:20.685 [main] INFO  TestBase.BaseClass - website is loaded
12:14:22.080 [main] INFO  TestBase.BaseClass - travel insurance menu is clicked successfully
12:14:42.113 [main] INFO  TestBase.BaseClass - personal details filled successfully
12:14:59.205 [main] INFO  TestBase.BaseClass - filters applied on student plans
12:14:59.596 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
12:14:59.649 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
12:14:59.702 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
12:15:00.278 [main] WARN  org.apache.poi.POIDocument - DocumentSummaryInformation property set came back as null
12:15:00.279 [main] WARN  org.apache.poi.POIDocument - SummaryInformation property set came back as null
12:15:03.305 [main] INFO  TestBase.BaseClass - clicked on Car insurance menu and fetched car details
12:15:12.099 [main] INFO  TestBase.BaseClass - filled personal details with wrong email and printed the wrong email error msg
12:17:27.111 [main] INFO  TestBase.BaseClass - --- Running on local system ---
12:17:33.110 [main] INFO  TestBase.BaseClass - Started chrome browser
12:17:37.834 [main] INFO  TestBase.BaseClass - website is loaded
12:17:38.596 [main] INFO  TestBase.BaseClass - travel insurance menu is clicked successfully
12:17:56.166 [main] INFO  TestBase.BaseClass - personal details filled successfully
12:18:13.840 [main] INFO  TestBase.BaseClass - filters applied on student plans
12:18:14.399 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
12:18:14.484 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
12:18:14.570 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
12:18:15.295 [main] WARN  org.apache.poi.POIDocument - DocumentSummaryInformation property set came back as null
12:18:15.296 [main] WARN  org.apache.poi.POIDocument - SummaryInformation property set came back as null
12:18:18.542 [main] INFO  TestBase.BaseClass - clicked on Car insurance menu and fetched car details
12:18:29.809 [main] INFO  TestBase.BaseClass - filled personal details with wrong email and printed the wrong email error msg
12:19:54.516 [main] INFO  TestBase.BaseClass - --- Running on local system ---
12:20:00.843 [main] INFO  TestBase.BaseClass - Started chrome browser
12:20:01.570 [main] INFO  TestBase.BaseClass - website is loaded
12:20:08.258 [main] INFO  TestBase.BaseClass - travel insurance menu is clicked successfully
12:20:27.540 [main] INFO  TestBase.BaseClass - personal details filled successfully
12:20:44.578 [main] INFO  TestBase.BaseClass - filters applied on student plans
12:20:45.103 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
12:20:45.197 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
12:20:45.381 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
12:20:46.166 [main] WARN  org.apache.poi.POIDocument - DocumentSummaryInformation property set came back as null
12:20:46.167 [main] WARN  org.apache.poi.POIDocument - SummaryInformation property set came back as null
12:20:49.207 [main] INFO  TestBase.BaseClass - clicked on Car insurance menu and fetched car details
12:20:59.657 [main] INFO  TestBase.BaseClass - filled personal details with wrong email and printed the wrong email error msg
12:21:03.207 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:21:03.334 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:21:03.442 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:21:03.550 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:21:03.650 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:21:03.728 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:21:03.797 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:21:03.872 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:21:03.941 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:21:04.018 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:21:04.099 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:21:04.201 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:21:04.368 [main] INFO  TestBase.BaseClass - Closed browser
12:23:23.393 [main] INFO  TestBase.CucumberBaseClass - Starting cucumber tests
12:23:33.484 [main] INFO  TestBase.CucumberBaseClass - Started chrome browser
12:24:14.124 [main] WARN  org.apache.poi.POIDocument - DocumentSummaryInformation property set came back as null
12:24:14.125 [main] WARN  org.apache.poi.POIDocument - SummaryInformation property set came back as null
12:24:15.718 [main] INFO  TestBase.CucumberBaseClass - Closed browser
12:24:46.064 [main] INFO  TestBase.CucumberBaseClass - Starting cucumber tests
12:24:54.888 [main] INFO  TestBase.CucumberBaseClass - Started chrome browser
12:26:33.920 [main] INFO  TestBase.CucumberBaseClass - Closed browser
12:27:14.425 [main] INFO  TestBase.CucumberBaseClass - Starting cucumber tests
12:27:23.557 [main] INFO  TestBase.CucumberBaseClass - Started chrome browser
12:27:35.108 [main] INFO  TestBase.CucumberBaseClass - Closed browser
12:49:27.936 [main] INFO  TestBase.BaseClass - --- Running on local system ---
12:49:39.431 [main] INFO  TestBase.BaseClass - Started chrome browser
12:49:45.857 [main] INFO  TestBase.BaseClass - website is loaded
12:49:47.181 [main] INFO  TestBase.BaseClass - travel insurance menu is clicked successfully
12:50:07.400 [main] INFO  TestBase.BaseClass - personal details filled successfully
12:50:26.518 [main] INFO  TestBase.BaseClass - filters applied on student plans
12:50:27.016 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
12:50:27.239 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
12:50:27.371 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
12:50:28.389 [main] WARN  org.apache.poi.POIDocument - DocumentSummaryInformation property set came back as null
12:50:28.390 [main] WARN  org.apache.poi.POIDocument - SummaryInformation property set came back as null
12:50:31.666 [main] INFO  TestBase.BaseClass - clicked on Car insurance menu and fetched car details
12:50:42.755 [main] INFO  TestBase.BaseClass - filled personal details with wrong email and printed the wrong email error msg
12:50:47.937 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:50:48.132 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:50:48.267 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:50:48.390 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:50:48.492 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:50:48.619 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:50:48.721 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:50:48.829 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:50:48.923 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:50:49.116 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:50:49.265 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:50:49.423 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
12:50:49.644 [main] INFO  TestBase.BaseClass - Closed browser
20:44:21.824 [main] INFO  TestBase.BaseClass - --- Running on local system ---
20:44:31.294 [main] INFO  TestBase.BaseClass - Started chrome browser
20:44:38.482 [main] INFO  TestBase.BaseClass - website is loaded
20:44:39.275 [main] INFO  TestBase.BaseClass - travel insurance menu is clicked successfully
20:48:19.773 [main] INFO  TestBase.BaseClass - clicked on Car insurance menu and fetched car details
20:48:29.565 [main] INFO  TestBase.BaseClass - filled personal details with wrong email and printed the wrong email error msg
20:48:33.361 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
20:48:33.459 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
20:48:33.535 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
20:48:33.603 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
20:48:33.686 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
20:48:33.782 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
20:48:33.860 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
